gene,Comp1_loading,Comp2_loading,abs_Comp1,abs_Comp2,in_M178_SREBF1_BTM,sterol_focus_gene
HLA-DOB,0.008138935929311189,-0.014300004478000741,0.008138935929311189,0.014300004478000741,FALSE,FALSE
LOC100131551,0.008135245566577121,0.0100659738886178,0.008135245566577121,0.0100659738886178,FALSE,FALSE
PRKAR2B,0.008128705699421803,0.003293916966728164,0.008128705699421803,0.003293916966728164,FALSE,FALSE
SIK2,0.008118009007994956,0.00578756691001637,0.008118009007994956,0.00578756691001637,FALSE,FALSE
RUNDC2C,-0.008114060570652875,-0.014213422179026656,0.008114060570652875,0.014213422179026656,FALSE,FALSE
ACOX3,-0.008101130536805974,0.0028582361563712078,0.008101130536805974,0.0028582361563712078,FALSE,FALSE
D21S2090E,-0.00809239604132731,-0.017380215536586027,0.00809239604132731,0.017380215536586027,FALSE,FALSE
SGK1,-0.008090276566565963,0.025863774686798385,0.008090276566565963,0.025863774686798385,FALSE,FALSE
FRMD3,0.008089400132236878,0.016674073034401434,0.008089400132236878,0.016674073034401434,FALSE,FALSE
ASAH2 /// ASAH2B /// ASAH2C,0.008089132845834342,0.010954119248091912,0.008089132845834342,0.010954119248091912,FALSE,FALSE
CCDC129,0.00808602855097619,-0.013376720712087927,0.00808602855097619,0.013376720712087927,FALSE,FALSE
LOC728081,-0.008079218683407056,-0.02653124216461176,0.008079218683407056,0.02653124216461176,FALSE,FALSE
CLRN1,-0.008078436913092691,-0.006011796393926326,0.008078436913092691,0.006011796393926326,FALSE,FALSE
TF,-0.008071359221384952,-0.009498052055848546,0.008071359221384952,0.009498052055848546,FALSE,FALSE
ELP3,0.008069486594241516,-0.020703270094693017,0.008069486594241516,0.020703270094693017,FALSE,FALSE
C6orf162,0.008066130081853213,0.006552784951750013,0.008066130081853213,0.006552784951750013,FALSE,FALSE
FUCA1,-0.008061055405862858,0.02113792189377932,0.008061055405862858,0.02113792189377932,FALSE,FALSE
IGH@ /// IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31 /// LOC100290146 /// LOC100290528,0.008060645433227525,0.012596962433858966,0.008060645433227525,0.012596962433858966,FALSE,FALSE
